User_id;Book_Id;Rating
0;074757362X;3
0;1421513943;2
0;743498712;3
0;039332107X;1
0;486432548;2
0;60747226;4
0;312983301;1
0;679838864;4
0;1585421774;3
0;141303352;1
0;413771164;1
0;552146080;4
0;1596871326;2
0;345495837;1
0;872860191;2
0;330316257;2
0;671024183;2
0;141013451;4
0;760328242;1
0;743437810;4
0;394448049;1
0;141186356;3
0;1854790471;4
0;140345825;5
0;316172324;2
0;451208641;3
0;425194523;5
0;440415241;4
0;895873311;3
0;842342702;1
1;60572973;3
1;312965680;3
1;674022874;3
1;689878559;1
1;156032597;1
1;60931361;2
1;940450828;1
1;61205699;4
1;61131628;3
1;1565041917;2
1;307278360;2
1;006052510X;4
1;618711651;3
1;60977493;4
1;451207645;3
1;074754624X;5
1;1400095468;5
1;743272099;5
1;838526950;5
1;486249441;5
1;1400076811;2
1;1594481776;4
1;520234413;5
1;1423100190;1
1;439994799;2
1;452281253;2
1;014062063X;1
1;1401903096;4
1;679867120;4
1;345375211;4
2;439314550;4
2;385339658;3
2;375719016;3
2;64401685;3
2;385722168;2
2;826453279;1
2;441014437;2
2;1582433224;3
2;081095480X;1
2;316926345;2
2;688172172;1
2;300000898;3
2;1933110457;4
2;380818205;3
2;747266972;5
2;743437497;3
2;394832205;4
2;684813785;1
2;1861977697;2
2;1556434308;5
2;553381008;4
2;031026345X;4
2;752834525;2
2;198711557;5
2;316769487;1
2;1402732988;5
2;192752537;3
2;631169407;2
2;679781498;2
2;553572490;2
3;224060872;4
3;767906284;4
3;520024273;5
3;743203313;1
3;764136313;3
3;1855384272;2
3;441004997;3
3;312315732;5
3;743250443;4
3;679734783;3
3;141439963;4
3;684837935;2
3;1857237641;2
3;1570614598;2
3;047004604X;3
3;374526966;1
3;60833181;1
3;142402486;4
3;99471434;2
3;99490684;4
3;1860467229;2
3;679737111;1
3;143037234;4
3;393977536;1
3;061861169X;3
3;471773867;5
3;743428676;4
3;520215109;4
3;142404209;1
3;307237907;1
4;689869908;2
4;7137338;2
4;1888996285;1
4;1841581224;1
4;380731223;5
4;811205460;3
4;520215109;2
4;076790382X;3
4;743457919;4
4;752861743;4
4;552548227;3
4;1591821576;2
4;758207743;1
4;067978148X;5
4;1589802438;2
4;20442602;4
4;1579126235;4
4;439651360;4
4;345441699;5
4;553297600;3
4;140445145;3
4;1585678767;1
4;1562920588;4
4;349116644;5
4;1932420347;2
4;385731051;2
4;375704256;1
4;870679945;2
4;1400054877;2
4;486256073;4
5;393926117;1
5;755323017;5
5;465024963;1
5;786809191;3
5;60885386;1
5;765304090;4
5;141010312;5
5;812574966;5
5;451411617;1
5;1859843824;1
5;764585975;4
5;141690817X;3
5;000664600X;3
5;292701322;3
5;345446100;5
5;1564782999;1
5;439411874;1
5;312425082;1
5;140018328;1
5;037575931X;5
5;765316927;3
5;552998818;3
5;019514581X;4
5;140178139;1
5;1556525133;2
5;778324311;5
5;385493622;3
5;1853260401;4
5;042518160X;1
5;60589280;5
6;805427775;5
6;553587153;5
6;425208915;4
6;312320191;2
6;590255223;2
6;189491712X;2
6;067426858X;5
6;316706000;2
6;99481685;1
6;486218430;4
6;60515198;3
6;60841869;5
6;313309337;2
6;809166585;4
6;014303748X;1
6;486264734;5
6;141001828;4
6;743292545;2
6;312940688;3
6;142302333;4
6;192833766;4
6;618380442;1
6;310272661;3
6;61131520;3
6;60556528;5
6;671876996;4
6;140424385;5
6;1565849426;2
6;553289519;1
6;1857880781;2
7;140153195;3
7;131730363;3
7;307264890;1
7;600601161;1
7;60511109;5
7;64405850;3
7;345396553;3
7;743468597;4
7;674992024;5
7;8172235224;1
7;64435261;1
7;140007780X;2
7;435233394;5
7;192835092;3
7;618479031;2
7;345463099;4
7;316706000;5
7;1400062640;1
7;330487159;3
7;262510871;4
7;261102427;3
7;373771371;2
7;385333781;2
7;045052468X;5
7;385339089;1
7;446691402;5
7;068483183X;1
7;345316509;3
7;1587172488;4
7;449001245;3
8;99448475;4
8;330334611;5
8;452284554;4
8;60788194;4
8;670038385;4
8;141186690;1
8;425213382;4
8;826415741;1
8;140433392;2
8;1400032466;2
8;671732471;1
8;1416916326;5
8;307265439;3
8;141439963;1
8;446614831;1
8;895941414;1
8;1564781313;4
8;470008296;5
8;60927518;2
8;582418275;1
8;691102570;3
8;7119356;1
8;184023380X;2
8;618260307;4
8;515141658;5
8;60546573;1
8;312423373;4
8;517147688;2
8;312426038;1
8;671519182;5
9;1904271065;2
9;446600342;4
9;312312156;1
9;037380248X;1
9;743272501;4
9;425205592;5
9;471758183;4
9;142002003;5
9;765309041;5
9;014027782X;2
9;067179566X;2
9;375703845;1
9;142151379X;5
9;156306301;3
9;141002980;4
9;99273845;3
9;022407265X;4
9;067426858X;3
9;452284554;4
9;261103660;1
9;60916818;3
9;006097611X;5
9;394536495;3
9;61139637;2
9;261102265;5
9;521834341;2
9;571225373;1
9;425152901;2
9;1582346178;5
9;747544212;5
10;312321198;2
10;141007451;2
10;813025931;5
10;684867486;1
10;1585004847;1
10;60854944;5
10;1419950584;5
10;440414008;4
10;192836366;5
10;7120680;4
10;64405443;4
10;1562802348;3
10;425196844;3
10;312862172;3
10;61127914;3
10;1400076196;3
10;440362059;5
10;439872464;2
10;60765453;3
10;736903704;2
10;739844326;2
10;1559210400;5
10;141001879;1
10;1400078008;1
10;465007805;5
10;307264122;5
10;1568821875;1
10;553582909;1
10;425147517;1
10;670820555;1
11;751533459;1
11;295979844;3
11;753814412;5
11;440220459;5
11;1841591386;2
11;756403146;2
11;425196739;4
11;486431681;5
11;525461310;2
11;375839569;1
11;345420748;1
11;1400079373;5
11;1400031656;2
11;674215184;4
11;60841869;2
11;60778016;1
11;61196673;4
11;1560258500;4
11;452286034;3
11;142001805;1
11;758206828;4
11;553375938;4
11;618131701;1
11;345437837;3
11;671001957;2
11;64405958;1
11;330487108;1
11;743262174;2
11;786016051;3
11;076530998X;3
12;743269519;3
12;553586076;4
12;1890447420;4
12;764586718;2
12;802789471;1
12;425193721;1
12;99489988;2
12;067176991X;1
12;1857237641;1
12;842387447;5
12;076455302X;1
12;750937254;1
12;60776099;3
12;1400047331;5
12;312932804;4
12;743222059;2
12;64472779;5
12;553297600;3
12;843945192;3
12;205479804;2
12;074726743X;5
12;978970705;4
12;553290851;5
12;441012523;2
12;141011114;4
12;6499260;2
12;1416903437;2
12;440495040;4
12;081297106X;1
12;312088477;2
13;031229543X;1
13;439420067;3
13;439341205;1
13;975323113;3
13;425212130;5
13;1598165763;2
13;843955007;2
13;1889963852;5
13;552998834;3
13;486287599;1
13;158685772X;5
13;141183721;4
13;449005577;2
13;226777103;3
13;033048477X;4
13;452277248;4
13;083082605X;5
13;99428644;4
13;1414305818;2
13;373760035;1
13;805390472;2
13;425180050;2
13;744005612;3
13;1400095956;3
13;743227441;1
13;7117531;2
13;61015628;4
13;743495926;5
13;1578569052;1
13;99474468;2
14;618057072;3
14;316955124;4
14;743449673;5
14;679734481;3
14;380818957;1
14;140259104;1
14;61030651;2
14;440227534;2
14;552998486;3
14;470861711;5
14;1402714572;3
14;044101237X;1
14;590764705;1
14;486419258;2
14;679781498;1
14;425195481;1
14;375708219;5
14;425211894;3
14;887847447;2
14;1929241631;3
14;435909614;5
14;014118258X;2
14;140439056;5
14;679643427;3
14;520239326;4
14;802431488;5
14;441102670;3
14;61137367;5
14;1565124820;5
14;241142466;5
15;718144465;5
